bloque,familia,subfamilia,codigo,descripcion,equivalencia_nuevo,equivalencia_existente,equivalencia_unica
Prima Gross Adds,PRO/PRO PRIMA,,MTXKY,RED Infinity Pro Full Speed,1.0,1.0,
Prima Gross Adds,PRO/PRO PRIMA,,MX1KY,RED Infinity Pro 10Mbps,1.0,1.0,
Prima Gross Adds,PRO/PRO PRIMA,,MYXK5,RED Infinity Pro 5GB,1.0,1.0,
Prima Gross Adds,PRO/PRO PRIMA,,MYDXK,RED Infinity Pro Tarifa Plana sin Datos,1.0,0.5,
Prima Gross Adds,PRO/PRO PRIMA,,MDYKW,RED Infinity Pro Tablet 5GB,1.0,0.5,
Prima Gross Adds,SMART,,MTFKY,RED Infinity Smart Ilimitada Full Speed,1.0,1.0,
Prima Gross Adds,LITE,,MIKFY,RED Infinity Lite ilimitada Full Speed,1.0,1.0,
Prima Gross Adds,LITE,,MIKDY,RED Infinity Lite ilimitada 10Mbps,1.0,1.0,
Prima Gross Adds,SMART,,MYFK5,RED Infinity Smart Ilimitada 5GB,1.0,1.0,
Prima Gross Adds,SMART,,MYFVK,RED Infinity Smart Ilimitada sin Datos,1.0,0.5,
Prima Gross Adds,SMART,,MDYKT,RED Infinity Smart Tablet 5GB,1.0,0.5,
Prima Gross Adds,Lite,,MIK30,RED Infinity Lite 30 GB,0.5,0.5,
Nuevos Negocios,APP,Agro,397272,Vodafone Agro - Premium,,,1713.5
Nuevos Negocios,APP,Agro,397273,Vodafone Agro - Enterprise,,,4409.0
Nuevos Negocios,APP,Agro,397274,Vodafone Agro - Estacion,,,1323.0
Nuevos Negocios,APP,Agro,397275,Vodafone Agro Usuario adicional - Usuario Premium,,,23.0
Nuevos Negocios,APP,Agro,397276,Vodafone Agro Usuario adicional - Paquete 5 usuarios Enterprise,,,214.0
Nuevos Negocios,APP,Agro,397277,Vodafone Agro Usuario adicional - Paquete 10 usuarios Enterprise,,,406.0
Nuevos Negocios,APP,Agro,397278,Vodafone Agro Usuario adicional - Paquete 15 usuarios Enterprise,,,576.0
Nuevos Negocios,APP,Agro,397279,Vodafone Agro Usuario adicional - Paquete 25 usuarios Enterprise,,,846.0
Nuevos Negocios,APP,Agro,397280,Vodafone Agro Usuario adicional - Paquete 50 usuarios Enterprise,,,1128.0
Nuevos Negocios,APP,Agro,397281,Vodafone Agro Usuario adicional - Paquete 100 usuarios Enterprise,,,1354.0
Nuevos Negocios,APP,Billin,470234,Billin Pro – 12 meses,,,46.8
Nuevos Negocios,APP,Billin Pro,470235,Billin Pro – 24 meses,,,78.0
Nuevos Negocios,APP,Billin Pro Anual,470236,Billin Pro Anual – 24 meses,,,90.0
Nuevos Negocios,APP,Firma Digital,58743,3G MOBILE SIGN BONO 50,,,2.5
Nuevos Negocios,APP,Firma Digital,58747,3G MOBILE SIGN BONO 500,,,20.83
Nuevos Negocios,APP,Firma Digital,58751,3G MOBILE SIGN BONO 5.000,,,50.0
Nuevos Negocios,APP,Firma Digital,181572,3G mobile sms 200,,,1.25
Nuevos Negocios,APP,Firma Digital,181575,3G mobile desarrollo,,,20.83
Nuevos Negocios,APP,Firma Digital,181578,3G mobile Comunicaciones Certificadas,,,6.0
Nuevos Negocios,APP,Firma Digital,181581,3G mobile Certificado,,,10.0
Nuevos Negocios,APP,Firma Digital,198598,3G mobile Store 20,,,300.0
Nuevos Negocios,APP,Firma Digital,198601,3G mobile Store 50,,,492.0
